metric,value
blue_block_anticipation_pct,0.0
blue_block_events,1
blue_block_anticipated,0
red_block_anticipation_pct,0.0
red_block_events,1
red_block_anticipated,0
blue_predictive_pearson_lambda_future_clear,
blue_predictive_spearman_lambda_future_clear,1.0
blue_predictive_pearson_active_future_clear,
blue_predictive_n_points,47
red_predictive_pearson_lambda_future_clear,
red_predictive_spearman_lambda_future_clear,1.0
red_predictive_pearson_active_future_clear,
red_predictive_n_points,108
blue_peak_abs_ar,3.0
red_peak_abs_ar,3.0
