metric,value
blue_block_anticipation_pct,0.0
blue_block_events,1
blue_block_anticipated,0
red_block_anticipation_pct,0.0
red_block_events,1
red_block_anticipated,0
blue_predictive_pearson_lambda_future_clear,0.45441074616482585
blue_predictive_spearman_lambda_future_clear,0.7910705968460976
blue_predictive_pearson_active_future_clear,0.2196816160667603
blue_predictive_n_points,113
red_predictive_pearson_lambda_future_clear,0.5258374267612558
red_predictive_spearman_lambda_future_clear,0.7642396313364055
red_predictive_pearson_active_future_clear,0.101551887297851
red_predictive_n_points,125
blue_peak_abs_ar,0.15281669260926897
red_peak_abs_ar,0.16074145681191349
