t,blue_true_x,blue_true_y,red_true_x,red_true_y,blue_true_vx,blue_true_vy,red_true_vx,red_true_vy,blue_self_x,blue_self_y,red_self_x,red_self_y,blue_on_red_x,blue_on_red_y,red_on_blue_x,red_on_blue_y,uB_t,uB_r,uR_t,uR_r,tr_blue_self,tr_red_self,tr_blue_on_red,tr_red_on_blue,distance_true,blue_self_meas,red_self_meas,blue_saw_red,red_saw_blue,err_blue_self_pos,err_red_self_pos,err_blue_on_red_pos,err_red_on_blue_pos,blue_block_clear,red_block_clear,blue_inner_wall_clear,red_inner_wall_clear,blue_outer_wall_clear,red_outer_wall_clear,blue_critical,red_critical,blue_wrong_side,red_wrong_side,blue_safe_side,red_safe_side,pca_pred_blue_self_active,pca_pred_red_self_active,pca_pred_blue_self_rank,pca_pred_red_self_rank,pca_pred_blue_self_lambda,pca_pred_red_self_lambda,pca_upd_blue_self_active,pca_upd_red_self_active,pca_upd_blue_self_rank,pca_upd_red_self_rank,pca_upd_blue_self_lambda,pca_upd_red_self_lambda,future_min_clear_blue,future_min_clear_red,blue_block_event_id,red_block_event_id,nom_blue_self_x,nom_blue_self_y,nom_red_self_x,nom_red_self_y,blue_self_P11,blue_self_P12,blue_self_P22,red_self_P11,red_self_P12,red_self_P22,blue_on_red_P11,blue_on_red_P12,blue_on_red_P22,red_on_blue_P11,red_on_blue_P12,red_on_blue_P22
0.0,25.57038260681863,21.642779692646677,22.378898399873222,25.59643801637785,-2.6055990415893375,3.0455448634248388,-3.0516007184388054,2.6093694223061297,25.570353620777414,21.6427744567381,22.37894948424107,25.596551503281006,22.37894948424107,25.596551503281006,25.570353620777414,21.6427744567381,1.1621613752988258,0.09964459891689903,1.1459899455542795,0.03047346257394565,0.08002851892410101,0.08002843900864914,0.08002843900864914,0.08002851892410101,5.081041781366371,0.0,0.0,0.0,0.0,2.945514087503439e-5,0.0001244543684505444,0.0001244543684505444,2.945514087503439e-5,,,3.500065365362083,3.9998931280397017,8.499934634637917,8.000106871960298,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.57059768017925,21.6424244085179,22.37925644445344,25.596266934719,0.040015135465323884,-2.11739914447719e-7,0.04001338345877712,0.04001509386459281,8.675825248950962e-8,0.04001334514405634,0.04001509386459281,8.675825248950962e-8,0.04001334514405634,0.040015135465323884,-2.11739914447719e-7,0.04001338345877712
0.02,25.518034344558632,21.703978878056134,22.317483260203193,25.648858211169085,-2.6627121028925766,3.049121804265827,-3.05462595957077,2.6075880744354647,25.518096231183264,21.704486874803294,22.318033078273423,25.64971484255656,22.318033078273423,25.64971484255656,25.518096231183264,21.704486874803294,1.1621701355551788,0.09908506085847113,1.14599957558526,0.03005680883300236,0.08007358265275832,0.08007334332018984,0.08007334332018984,0.08007358265275832,5.079921278562342,0.0,0.0,0.0,0.0,0.0005117525275303156,0.0010178984450118671,0.0010178984450118671,0.0005117525275303156,,,3.499742923628247,3.9990292009361,8.500257076371753,8.0009707990639,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.51883105164464,21.70343893850966,22.318955972483913,25.648863606372984,0.04003946956546263,-4.4738838635306684e-7,0.04003411308729569,0.040039287598135964,4.4741564381901393e-7,0.04003405572205388,0.040039287598135964,4.4741564381901393e-7,0.04003405572205388,0.04003946956546263,-4.4738838635306684e-7,0.04003411308729569
0.04,25.464566994603903,21.765307638167975,22.25603679389306,25.701281127476086,-2.682455555529007,3.054896746556126,-3.075341577663166,2.643490392416436,25.465438723251207,21.766427116182033,22.256676076168038,25.703020926894045,22.256676076168038,25.703020926894045,25.465438723251207,21.766427116182033,1.1620853688866346,0.0984684759477526,1.145857055444858,0.02963974670698228,0.08013535457811849,0.08013487658618507,0.08013487658618507,0.08013535457811849,5.078046214579957,0.0,0.0,0.0,0.0,0.0014188523032683002,0.0018535328003110492,0.0018535328003110492,0.0014188523032683002,,,3.498847574308634,3.9983385677106327,8.501152425691366,8.001661432289367,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.46691364214452,21.764335724840155,22.25852584346347,25.701323453780915,0.04007310545850429,-7.45252244956419e-7,0.040062249119614195,0.040072694221058996,1.0511227719897166e-6,0.04006218236512608,0.040072694221058996,1.0511227719897166e-6,0.04006218236512608,0.04007310545850429,-7.45252244956419e-7,0.040062249119614195
0.06,25.410522023180274,21.826681542546908,22.194198542353277,25.754432648811804,-2.6600850351269667,3.0736576810578637,-3.1393125401847612,2.64821008954114,25.41237868515171,21.828592554310625,22.19487676419189,25.75646689489121,22.19487676419189,25.75646689489121,25.41237868515171,21.828592554310625,1.162154718444167,0.09788184469463701,1.1458506063796712,0.029183189506007998,0.08021399931820247,0.08021320363339238,0.08021320363339238,0.08021399931820247,5.0766096448401665,0.0,0.0,0.0,0.0,0.0026644248229678795,0.0021443278606490214,0.0021443278606490214,0.0026644248229678795,,,3.497741067873335,3.9981359783088664,8.502258932126665,8.001864021691134,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.414845706423016,21.82511438042678,22.197966357575048,25.75364614162364,0.04011614836738081,-1.1435413738319996e-6,0.04009785095082166,0.04011542861567347,1.8675192890044324e-6,0.040097775017718905,0.04011542861567347,1.8675192890044324e-6,0.040097775017718905,0.04011614836738081,-1.1435413738319996e-6,0.04009785095082166
0.08,25.356910027792352,21.888305548574273,22.130978880904685,25.807533164749895,-2.6713726322827287,3.0760581406375214,-3.1647208255701558,2.664200087098653,25.358913726619008,21.890980450193577,22.132633425781947,25.810049887904817,22.132633425781947,25.810049887904817,25.358913726619008,21.890980450193577,1.1620175556387549,0.09718515416888773,1.1458934332605595,0.028758529231645076,0.08030968273410741,0.08030849045702701,0.08030849045702701,0.08030968273410741,5.076118287811428,0.0,0.0,0.0,0.0,0.003342141179079293,0.00301187884706485,0.00301187884706485,0.003342141179079293,,,3.4973253550981838,3.9971909762661824,8.502674644901816,8.002809023733818,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.362627500249452,21.885774518704842,22.13727781590064,25.80583133521634,0.04016870535323437,-1.6803698870660457e-6,0.040140977380873036,0.04016760754980205,2.866706876380261e-6,0.04014088290722496,0.04016760754980205,2.866706876380261e-6,0.04014088290722496,0.04016870535323437,-1.6803698870660457e-6,0.040140977380873036
0.1,25.30314876502482,21.950124361219217,22.067324870802977,25.86098973499944,-2.6635664737064766,3.098561348197507,-3.169592263595693,2.6470254156647686,25.305041462336817,21.95358811636815,22.069944345084128,25.86376700556476,22.069944345084128,25.86376700556476,25.305041462336817,21.95358811636815,1.162012256509825,0.0966124693395857,1.1459067957627929,0.028287433750148538,0.08042257205956059,0.08042090418326991,0.08042090418326991,0.08042257205956059,5.075965351167216,0.0,0.0,0.0,0.0,0.00394713856440292,0.0038177057642789823,0.0038177057642789823,0.00394713856440292,,,3.4971237108198068,3.9964353576563383,8.502876289180193,8.003564642343662,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.310259280417412,21.946315753630362,22.076460520419968,25.857878700510966,0.04023088563768936,-2.3937604677039264e-6,0.04019168642187123,0.04022934957586035,4.019350376606768e-6,0.04019155460740956,0.04022934957586035,4.019350376606768e-6,0.04019155460740956,0.04023088563768936,-2.3937604677039264e-6,0.04019168642187123
0.12,25.249506137891114,22.01235893317899,22.003587871479862,25.914177102114206,-2.7149627501334956,3.1342451309074946,-3.214567145057164,2.6589323171978823,25.25075952368192,22.016412813000862,22.00680784711804,25.917615330082906,22.00680784711804,25.917615330082906,25.25075952368192,22.016412813000862,1.1619230765813675,0.09601711029281204,1.1458544038420655,0.027880479138775498,0.08055283577402753,0.08055061332818675,0.08055061332818675,0.08055283577402753,5.075447804445947,0.0,0.0,0.0,0.0,0.004243220186458948,0.004710589631374814,0.004710589631374814,0.004243220186458948,,,3.497485069934818,3.9956240433629304,8.502514930065182,8.00437595663707,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.257741304743757,22.006737699682823,22.015514774009265,25.909787904098714,0.04030280039491651,-3.321576499731802e-6,0.04025003537911101,0.0403007751900527,5.296654166827217e-6,0.040249838138134056,0.0403007751900527,5.296654166827217e-6,0.040249838138134056,0.04030280039491651,-3.321576499731802e-6,0.04025003537911101
0.14,25.194839668680224,22.07532748842715,21.938879528366158,25.9674900200366,-2.773125665413072,3.1621615321190526,-3.2278475004909515,2.658412079551819,25.196065493417976,22.079451774903653,21.94322225350759,25.971591923883995,21.94322225350759,25.971591923883995,25.196065493417976,22.079451774903653,1.1619091274681281,0.09531945256134203,1.14581679543251,0.027460961037185944,0.0807006435276982,0.08069778743767204,0.08069778743767204,0.0807006435276982,5.074466041642064,0.0,0.0,0.0,0.0,0.004302602146138621,0.005973682015917215,0.005973682015917215,0.004302602146138621,,,3.497761561809021,3.994484448228718,8.502238438190979,8.005515551771282,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.20507383206768,22.06703997186793,21.95444088043997,25.96155861321247,0.040384562879048444,-4.501460972951851e-6,0.04031608064864975,0.0403820066176667,6.670354205286814e-6,0.040315780820005344,0.0403820066176667,6.670354205286814e-6,0.040315780820005344,0.040384562879048444,-4.501460972951851e-6,0.04031608064864975
0.16,25.138940526503813,22.138736728653782,21.873970882283118,26.020795080713896,-2.7890962744586307,3.2036724631390165,-3.2699334746941515,2.665279063951051,25.140956983406333,22.142702200784623,21.879185862298275,26.02569379351804,21.879185862298275,26.02569379351804,25.140956983406333,22.142702200784623,1.1618234079504854,0.0946478360994511,1.1457751378756518,0.026927272442988714,0.08086616633982596,0.08086259719709002,0.08086259719709002,0.08086616633982596,5.07251454669992,0.0,0.0,0.0,0.0,0.0044487152819879215,0.007154956582397253,0.007154956582397253,0.0044487152819879215,,,3.497611776598937,3.993416697817743,8.502388223401063,8.006583302182257,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.15225712224974,22.127222185720406,21.893239144377446,26.01319049572927,0.04047628834533004,-5.970878112543684e-6,0.040389877994495914,0.040473167942705945,8.112912020816568e-6,0.04038942925438407,0.040473167942705945,8.112912020816568e-6,0.04038942925438407,0.04047628834533004,-5.970878112543684e-6,0.040389877994495914
0.18,25.08281878466833,22.20308548320232,21.808142546297596,26.074376571367328,-2.7788332686980395,3.1887458053951225,-3.32520356549645,2.674730800858211,25.085431588365278,22.206161268952677,21.81469700781906,26.079917942615463,21.81469700781906,26.079917942615463,25.085431588365278,22.206161268952677,1.1617721768086224,0.09394070524655872,1.14570118342832,0.026476260168361403,0.08104957645847127,0.08104521455632217,0.08104521455632217,0.08104957645847127,5.070542294020997,0.0,0.0,0.0,0.0,0.0040357404699623125,0.008582992551902561,0.008582992551902561,0.0040357404699623125,,,3.4981313383134847,3.992178437180293,8.501868661686515,8.007821562819707,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.099291436170862,22.187283957306718,21.83190987137968,26.064683220172753,0.040578094212892456,-7.767055582524249e-6,0.040471482245578824,0.040574385206171744,9.59736958662305e-6,0.04047082935015043,0.040574385206171744,9.59736958662305e-6,0.04047082935015043,0.040578094212892456,-7.767055582524249e-6,0.040471482245578824
