t,blue_true_x,blue_true_y,red_true_x,red_true_y,blue_true_vx,blue_true_vy,red_true_vx,red_true_vy,blue_self_x,blue_self_y,red_self_x,red_self_y,blue_on_red_x,blue_on_red_y,red_on_blue_x,red_on_blue_y,uB_t,uB_r,uR_t,uR_r,tr_blue_self,tr_red_self,tr_blue_on_red,tr_red_on_blue,distance_true,blue_self_meas,red_self_meas,blue_saw_red,red_saw_blue,err_blue_self_pos,err_red_self_pos,err_blue_on_red_pos,err_red_on_blue_pos,blue_block_clear,red_block_clear,blue_inner_wall_clear,red_inner_wall_clear,blue_outer_wall_clear,red_outer_wall_clear,blue_critical,red_critical,blue_wrong_side,red_wrong_side,blue_safe_side,red_safe_side,pca_pred_blue_self_active,pca_pred_red_self_active,pca_pred_blue_self_rank,pca_pred_red_self_rank,pca_pred_blue_self_lambda,pca_pred_red_self_lambda,pca_upd_blue_self_active,pca_upd_red_self_active,pca_upd_blue_self_rank,pca_upd_red_self_rank,pca_upd_blue_self_lambda,pca_upd_red_self_lambda,future_min_clear_blue,future_min_clear_red,blue_block_event_id,red_block_event_id,nom_blue_self_x,nom_blue_self_y,nom_red_self_x,nom_red_self_y,blue_self_P11,blue_self_P12,blue_self_P22,red_self_P11,red_self_P12,red_self_P22,blue_on_red_P11,blue_on_red_P12,blue_on_red_P22,red_on_blue_P11,red_on_blue_P12,red_on_blue_P22
0.0,25.570419728233112,21.64278665476323,22.378895612222955,25.596513656098693,-2.5824531301153013,3.074368880260321,-3.0308745587616404,2.6653539323620343,25.570353620777414,21.6427744567381,22.37894948424107,25.596551503281006,22.37894948424107,25.596551503281006,25.570353620777414,21.6427744567381,1.1621613752988258,0.09964459891689903,1.1459899455542795,0.03047346257394565,0.08002851892410101,0.08002843900864914,0.08002843900864914,0.08002851892410101,5.081120288298981,0.0,0.0,0.0,0.0,6.722341493847856e-5,6.583770610128921e-5,6.583770610128921e-5,6.722341493847856e-5,,,3.500098197790564,3.999948237749109,8.499901802209436,8.00005176225089,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.57059768017925,21.6424244085179,22.37925644445344,25.596266934719,0.040015135465323884,-2.11739914447719e-7,0.04001338345877712,0.04001509386459281,8.675825248950962e-8,0.04001334514405634,0.04001509386459281,8.675825248950962e-8,0.04001334514405634,0.040015135465323884,-2.11739914447719e-7,0.04001338345877712
0.02,25.518475002788723,21.70458428902991,22.31782943941801,25.650016473820372,-2.6022338380243117,3.090677812630818,-3.0818885583082882,2.6374949154992713,25.518096231183264,21.704486874803294,22.318033078273423,25.64971484255656,22.318033078273423,25.64971484255656,25.518096231183264,21.704486874803294,1.1621701355551788,0.09908506085847113,1.14599957558526,0.03005680883300236,0.08007358265275832,0.08007334332018984,0.08007334332018984,0.08007358265275832,5.08041013571789,0.0,0.0,0.0,0.0,0.00039109776354326786,0.0003639370862439795,0.0003639370862439795,0.00039109776354326786,,,3.5004708269534177,4.000130234959535,8.499529173046582,7.999869765040465,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.51883105164464,21.70343893850966,22.318955972483913,25.648863606372984,0.04003946956546263,-4.4738838635306684e-7,0.04003411308729569,0.040039287598135964,4.4741564381901393e-7,0.04003405572205388,0.040039287598135964,4.4741564381901393e-7,0.04003405572205388,0.04003946956546263,-4.4738838635306684e-7,0.04003411308729569
0.04,25.466101350856505,21.766701201284043,22.255714057649186,25.70292780570218,-2.6104849913858663,3.1074870615273227,-3.1241858038209536,2.62589824164739,25.465438723251207,21.766427116182033,22.256676076168038,25.703020926894045,22.256676076168038,25.703020926894045,25.465438723251207,21.766427116182033,1.1620853688866346,0.0984684759477526,1.145857055444858,0.02963974670698228,0.08013535457811849,0.08013487658618507,0.08013487658618507,0.08013535457811849,5.079415955965426,0.0,0.0,0.0,0.0,0.0007170759976783176,0.0009665149698725065,0.0009665149698725065,0.0007170759976783176,,,3.500919378400283,3.999372141276112,8.499080621599717,8.000627858723888,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.46691364214452,21.764335724840155,22.25852584346347,25.701323453780915,0.04007310545850429,-7.45252244956419e-7,0.040062249119614195,0.040072694221058996,1.0511227719897166e-6,0.04006218236512608,0.040072694221058996,1.0511227719897166e-6,0.04006218236512608,0.04007310545850429,-7.45252244956419e-7,0.040062249119614195
0.06,25.413497238620756,21.8290935565257,22.192796902352168,25.755622406272675,-2.6335147801175527,3.0833102321411423,-3.1462513145210496,2.5991940754400438,25.41237868515171,21.828592554310625,22.19487676419189,25.75646689489121,22.19487676419189,25.75646689489121,25.41237868515171,21.828592554310625,1.162154718444167,0.09788184469463701,1.1458506063796712,0.029183189506007998,0.08021399931820247,0.08021320363339238,0.08021320363339238,0.08021399931820247,5.078438683683787,0.0,0.0,0.0,0.0,0.0012256284439508378,0.002244768651591443,0.002244768651591443,0.0012256284439508378,,,3.501569625868825,3.998122299379226,8.498430374131175,8.001877700620774,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.414845706423016,21.82511438042678,22.197966357575048,25.75364614162364,0.04011614836738081,-1.1435413738319996e-6,0.04009785095082166,0.04011542861567347,1.8675192890044324e-6,0.040097775017718905,0.04011542861567347,1.8675192890044324e-6,0.040097775017718905,0.04011614836738081,-1.1435413738319996e-6,0.04009785095082166
0.08,25.360482618254473,21.891040853267594,22.129496058205667,25.807773948403945,-2.6430230659234506,3.095768267263796,-3.181086381277291,2.602930352684909,25.358913726619008,21.890980450193577,22.132633425781947,25.810049887904817,22.132633425781947,25.810049887904817,25.358913726619008,21.890980450193577,1.1620175556387549,0.09718515416888773,1.1458934332605595,0.028758529231645076,0.08030968273410741,0.08030849045702701,0.08030849045702701,0.08030968273410741,5.077408028684753,0.0,0.0,0.0,0.0,0.0015700539784294248,0.0038759483897907636,0.0038759483897907636,0.0015700539784294248,,,3.5018170890806744,3.9964085156367304,8.498182910919326,8.00359148436327,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.362627500249452,21.885774518704842,22.13727781590064,25.80583133521634,0.04016870535323437,-1.6803698870660457e-6,0.040140977380873036,0.04016760754980205,2.866706876380261e-6,0.04014088290722496,0.04016760754980205,2.866706876380261e-6,0.04014088290722496,0.04016870535323437,-1.6803698870660457e-6,0.040140977380873036
0.1,25.30730514849036,21.95327451244101,22.06552489508746,25.860043450603193,-2.712275977526444,3.113746371924724,-3.2158829733809884,2.615302643087785,25.305041462336817,21.95358811636815,22.069944345084128,25.86376700556476,22.069944345084128,25.86376700556476,25.305041462336817,21.95358811636815,1.162012256509825,0.0966124693395857,1.1459067957627929,0.028287433750148538,0.08042257205956059,0.08042090418326991,0.08042090418326991,0.08042257205956059,5.0766113449368815,0.0,0.0,0.0,0.0,0.0022853057617885013,0.005778961829330601,0.005778961829330601,0.0022853057617885013,,,3.5023276161134618,3.9945471533716628,8.497672383886538,8.005452846628337,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.310259280417412,21.946315753630362,22.076460520419968,25.857878700510966,0.04023088563768936,-2.3937604677039264e-6,0.04019168642187123,0.04022934957586035,4.019350376606768e-6,0.04019155460740956,0.04022934957586035,4.019350376606768e-6,0.04019155460740956,0.04023088563768936,-2.3937604677039264e-6,0.04019168642187123
0.12,25.2527084491527,22.01581726433651,22.000801343486195,25.9124383523423,-2.7307207349016935,3.1138678121972814,-3.243971026150264,2.638594398490462,25.25075952368192,22.016412813000862,22.00680784711804,25.917615330082906,22.00680784711804,25.917615330082906,25.25075952368192,22.016412813000862,1.1619230765813675,0.09601711029281204,1.1458544038420655,0.027880479138775498,0.08055283577402753,0.08055061332818675,0.08055061332818675,0.08055283577402753,5.075288733399877,0.0,0.0,0.0,0.0,0.0020378882948434785,0.007929639613885864,0.007929639613885864,0.0020378882948434785,,,3.5021714793916843,3.992495070522317,8.497828520608316,8.007504929477683,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.257741304743757,22.006737699682823,22.015514774009265,25.909787904098714,0.04030280039491651,-3.321576499731802e-6,0.04025003537911101,0.0403007751900527,5.296654166827217e-6,0.040249838138134056,0.0403007751900527,5.296654166827217e-6,0.040249838138134056,0.04030280039491651,-3.321576499731802e-6,0.04025003537911101
0.14,25.197722841279514,22.078370337660775,21.935601623886978,25.965391369330018,-2.7818421517786494,3.132346324092558,-3.245492346501738,2.6479672804786656,25.196065493417976,22.079451774903653,21.94322225350759,25.971591923883995,21.94322225350759,25.971591923883995,25.196065493417976,22.079451774903653,1.1619091274681281,0.09531945256134203,1.14581679543251,0.027460961037185944,0.0807006435276982,0.08069778743767204,0.08069778743767204,0.0807006435276982,5.074481977266407,0.0,0.0,0.0,0.0,0.0019789665091731142,0.00982450368168211,0.00982450368168211,0.0019789665091731142,,,3.5019353642866236,3.9907659161183204,8.498064635713376,8.00923408388168,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.20507383206768,22.06703997186793,21.95444088043997,25.96155861321247,0.040384562879048444,-4.501460972951851e-6,0.04031608064864975,0.0403820066176667,6.670354205286814e-6,0.040315780820005344,0.0403820066176667,6.670354205286814e-6,0.040315780820005344,0.040384562879048444,-4.501460972951851e-6,0.04031608064864975
0.16,25.14175171713915,22.141324933652825,21.8703411318275,26.01858277927857,-2.819616579921666,3.1292320467526338,-3.2414981988879155,2.654290695141306,25.140956983406333,22.142702200784623,21.879185862298275,26.02569379351804,21.879185862298275,26.02569379351804,25.140956983406333,22.142702200784623,1.1618234079504854,0.0946478360994511,1.1457751378756518,0.026927272442988714,0.08086616633982596,0.08086259719709002,0.08086259719709002,0.08086616633982596,5.072992767504751,0.0,0.0,0.0,0.0,0.0015901152343171074,0.011348822873522004,0.011348822873522004,0.0015901152343171074,,,3.501432047359792,3.9893876241493516,8.498567952640208,8.010612375850648,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.15225712224974,22.127222185720406,21.893239144377446,26.01319049572927,0.04047628834533004,-5.970878112543684e-6,0.040389877994495914,0.040473167942705945,8.112912020816568e-6,0.04038942925438407,0.040473167942705945,8.112912020816568e-6,0.04038942925438407,0.04047628834533004,-5.970878112543684e-6,0.040389877994495914
0.18,25.08509093193448,22.204145156961836,21.805133914682674,26.07186439633031,-2.848371865115496,3.1256894014578798,-3.250939630541488,2.6459765078688586,25.085431588365278,22.206161268952677,21.81469700781906,26.079917942615463,21.81469700781906,26.079917942615463,25.085431588365278,22.206161268952677,1.1617721768086224,0.09394070524655872,1.14570118342832,0.026476260168361403,0.08104957645847127,0.08104521455632217,0.08104521455632217,0.08104957645847127,5.071229648675004,0.0,0.0,0.0,0.0,0.002044689307316826,0.012502494075275946,0.012502494075275946,0.002044689307316826,,,3.5005350586353075,3.9883212021111802,8.499464941364693,8.01167879788882,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,,,0,0,25.099291436170862,22.187283957306718,21.83190987137968,26.064683220172753,0.040578094212892456,-7.767055582524249e-6,0.040471482245578824,0.040574385206171744,9.59736958662305e-6,0.04047082935015043,0.040574385206171744,9.59736958662305e-6,0.04047082935015043,0.040578094212892456,-7.767055582524249e-6,0.040471482245578824
